=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-7-8_22-45-2
====================================================================================
22:45:2 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
22:45:2 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
22:45:2 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
22:45:2 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
22:45:2 | [PermissionManager] Perm (MenuBansManager) has been registered!
22:45:2 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
22:45:2 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
22:45:2 | [PermissionManager] Perm (MenuWebHooks) has been registered!
22:45:2 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
22:45:2 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
22:45:2 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
22:45:2 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
22:45:2 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
22:45:2 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
22:45:2 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
22:45:2 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
22:45:2 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
22:45:2 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
22:45:2 | [PermissionManager] Perm (EspToolsMenu) has been registered!
22:45:2 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
22:45:2 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
22:45:2 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
22:45:2 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
22:45:2 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
22:45:2 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
22:45:2 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
22:45:2 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
22:45:2 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
22:45:2 | [PermissionManager] Adding Super Admin (76561199227453916)
22:45:2 | [PermissionManager] Loaded UserGroups.json
22:45:2 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
22:45:2 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
22:45:2 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
22:45:2 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
22:45:2 | Building Sets Loaded: 0
22:46:21 | Player "Joseph" (steamId=76561199227453916) connected to server!
22:46:52 | Player "Joseph" (steamId=76561199227453916) connected to server!
22:59:53 | "Joseph" (steamid=76561199227453916) Spawned Item: (BO_Springfield1903)
23:0:48 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8058.123535, 459.527985, 9350.958984>)
23:0:50 | "Joseph" (steamid=76561199227453916) toggled godmode
23:0:53 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8008.199219, 458.422607, 9411.519531>)
23:1:2 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<8005.950684, 458.723358, 9431.711914>)
23:1:3 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7998.817871, 465.618591, 9551.240234>)
23:1:8 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7995.926270, 458.579559, 9553.145508>)
23:1:8 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7957.697266, 452.529938, 9551.149414>)
23:1:10 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7954.115234, 452.484558, 9556.052734>)
23:1:10 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7937.960449, 446.582825, 9589.645508>)
23:1:10 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7928.498047, 444.813232, 9606.375000>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7920.619629, 444.574768, 9617.115234>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7920.595703, 444.574799, 9617.097656>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7920.577637, 444.574890, 9617.083984>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7920.548828, 444.575348, 9617.083984>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7920.495605, 444.576691, 9617.122070>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7920.455078, 444.577698, 9617.149414>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7920.414551, 444.578796, 9617.178711>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7920.366699, 444.579987, 9617.212891>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7919.774902, 444.600739, 9617.983398>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7918.440430, 444.647003, 9619.762695>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7917.114746, 444.693054, 9621.535156>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7915.591309, 444.789429, 9623.583984>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.516602, 444.885284, 9625.038086>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.362793, 444.894958, 9625.174805>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.239258, 444.900818, 9625.250977>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.148926, 444.905121, 9625.305664>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.082520, 444.908173, 9625.343750>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.076172, 444.908020, 9625.339844>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.069824, 444.907867, 9625.334961>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.065918, 444.907776, 9625.333008>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.061523, 444.907715, 9625.330078>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7914.057617, 444.907593, 9625.327148>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7913.403320, 444.963806, 9626.175781>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7912.248535, 445.063324, 9627.677734>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7911.587891, 445.120117, 9628.535156>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7910.265625, 445.233398, 9630.254883>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.929688, 445.343842, 9631.991211>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.533203, 445.376617, 9632.506836>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.533691, 445.376556, 9632.505859>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.533691, 445.376556, 9632.504883>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.534180, 445.376495, 9632.504883>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.533691, 445.376465, 9632.503906>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.512207, 445.377380, 9632.515625>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.483887, 445.378601, 9632.531250>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.459473, 445.379639, 9632.545898>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.431641, 445.380890, 9632.561523>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7908.402832, 445.382080, 9632.577148>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7907.411621, 445.463867, 9633.862305>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7906.252441, 445.559631, 9635.368164>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7904.322754, 445.687683, 9637.873047>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7902.465332, 445.685608, 9640.274414>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7902.137695, 445.686493, 9640.694336>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7902.114746, 445.686432, 9640.716797>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7902.094238, 445.686371, 9640.739258>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7902.071289, 445.686340, 9640.763672>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7901.881836, 445.686615, 9640.997070>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7901.579590, 445.687103, 9641.370117>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7901.191406, 445.687714, 9641.848633>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7900.932617, 445.688141, 9642.168945>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7900.630371, 445.688629, 9642.541992>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7899.137695, 445.693115, 9644.469727>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7897.331543, 445.593231, 9646.795898>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7895.109863, 445.406250, 9649.650391>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7893.205566, 445.245941, 9652.097656>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7891.472168, 445.114746, 9654.319336>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7891.273926, 445.100433, 9654.564453>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7890.875977, 445.071503, 9655.058594>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7890.675781, 445.056854, 9655.304688>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7890.656250, 445.055420, 9655.330078>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7890.657227, 445.055511, 9655.330078>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7890.657715, 445.055573, 9655.329102>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7890.658203, 445.055603, 9655.328125>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7890.657715, 445.055603, 9655.329102>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7890.657715, 445.055573, 9655.329102>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7889.792480, 444.990631, 9656.433594>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7888.532227, 444.891113, 9658.042969>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7887.272949, 444.791626, 9659.651367>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7886.259766, 444.720306, 9660.944336>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7884.776367, 444.620789, 9662.838867>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7883.793945, 444.554810, 9664.099609>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7882.316895, 444.454803, 9665.996094>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7881.140137, 444.371124, 9667.506836>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7880.373535, 444.327026, 9668.491211>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.498535, 444.276642, 9669.614258>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.500000, 444.276733, 9669.613281>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.500000, 444.276703, 9669.614258>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.500488, 444.276764, 9669.613281>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.501465, 444.276794, 9669.613281>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.501465, 444.276794, 9669.614258>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.502441, 444.276855, 9669.614258>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.502930, 444.276886, 9669.613281>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.503418, 444.276886, 9669.613281>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.503906, 444.276947, 9669.612305>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.504395, 444.276947, 9669.613281>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.504883, 444.277008, 9669.612305>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.505859, 444.277008, 9669.613281>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.506348, 444.277039, 9669.612305>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.506836, 444.277100, 9669.612305>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.508301, 444.277161, 9669.612305>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.508301, 444.277191, 9669.611328>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.509277, 444.277252, 9669.611328>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.510254, 444.277283, 9669.610352>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.510742, 444.277252, 9669.611328>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.511719, 444.277313, 9669.610352>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.513184, 444.277435, 9669.609375>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.513672, 444.277435, 9669.608398>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.514648, 444.277527, 9669.608398>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.515625, 444.277588, 9669.606445>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.516602, 444.277588, 9669.607422>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.518066, 444.277679, 9669.605469>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.519043, 444.277740, 9669.605469>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.520508, 444.277802, 9669.604492>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.521973, 444.277893, 9669.603516>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.521973, 444.277893, 9669.603516>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.523438, 444.277985, 9669.602539>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.524902, 444.278076, 9669.601563>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.526367, 444.278168, 9669.600586>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.526855, 444.278168, 9669.600586>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.527832, 444.278198, 9669.599609>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.528809, 444.278259, 9669.599609>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.530273, 444.278381, 9669.598633>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.531250, 444.278412, 9669.598633>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.532227, 444.278473, 9669.597656>)
23:1:11 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7879.533203, 444.278473, 9669.596680>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7869.424316, 443.799347, 9682.593750>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.222656, 443.511200, 9694.396484>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.219727, 443.511047, 9694.398438>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.217773, 443.510956, 9694.399414>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.215820, 443.510834, 9694.400391>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.213379, 443.510742, 9694.401367>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.211426, 443.510620, 9694.402344>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.208984, 443.510468, 9694.404297>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.208496, 443.510529, 9694.403320>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.207031, 443.510406, 9694.404297>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.205566, 443.510376, 9694.405273>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7860.204102, 443.510284, 9694.406250>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7859.355469, 443.478333, 9695.492188>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7857.427734, 443.418945, 9697.963867>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7855.863770, 443.436005, 9699.972656>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7853.853027, 443.457886, 9702.552734>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7852.281738, 443.473511, 9704.569336>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7852.166992, 443.473785, 9704.712891>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7852.140625, 443.473541, 9704.742188>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7852.122559, 443.473480, 9704.762695>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7851.987793, 443.473907, 9704.933594>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7851.768066, 443.463226, 9705.212891>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7851.614746, 443.453369, 9705.406250>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7851.310059, 443.433807, 9705.793945>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7850.594238, 443.387756, 9706.708984>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7848.479004, 443.251831, 9709.417969>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7846.664551, 443.135254, 9711.740234>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7843.260742, 442.905060, 9716.096680>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7840.880859, 442.733948, 9719.142578>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7840.680664, 442.719421, 9719.393555>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7840.529785, 442.708527, 9719.582031>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7840.380371, 442.697754, 9719.769531>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7839.857910, 442.716309, 9720.438477>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7839.510742, 442.748352, 9720.884766>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7839.163574, 442.780457, 9721.329102>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7838.915527, 442.803345, 9721.647461>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7838.073242, 442.881226, 9722.728516>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7837.316406, 442.954193, 9723.701172>)
23:1:12 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7836.070313, 443.089966, 9725.302734>)
23:1:13 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7835.238281, 443.180206, 9726.372070>)
23:1:13 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7834.786133, 443.229004, 9726.951172>)
23:1:13 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7834.356445, 443.275299, 9727.500000>)
23:1:13 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7833.995605, 443.290741, 9727.960938>)
23:1:13 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7833.783691, 443.299866, 9728.232422>)
23:1:13 | "Joseph" (steamid=76561199227453916) teleported to crosshair (pos=<7833.783203, 443.299866, 9728.231445>)
